glyph_name,ps_name,sort_final,sort_design,USV,bcp47tags,Feat
gara-oriya,garaO,562,562,,,
ghana-oriya,ghanaO,563,563,,,
ghara-oriya,gharaO,564,564,,,
haja-oriya,hajaO,565,565,,,
haka-oriya,hakaO,566,566,,,
hala-oriya,halaO,567,567,,,
halla-oriya,hallaO,568,568,,,
hama-oriya,hamaO,569,569,,,
hana-oriya,hanaO,570,570,,,
harVocalic-oriya,harVocalicO,571,571,,,
hara-oriya,haraO,572,572,,,
hau-oriya,hauO,573,573,,,
hauu-oriya,hauuO,574,574,,,
hava-oriya,havaO,575,575,,,
iMatracandraBindu-oriya,iMatracandraBinduO,576,576,,,
iMatracandraBindu-oriya.wide,iMatracandraBinduO.wide,577,577,,,
iMatrareph-oriya,iMatrarephO,578,578,,,
iMatrareph-oriya.wide,iMatrarephO.wide,579,579,,,
iMatrarephcandraBindu-oriya,iMatrarephcandraBinduO,580,580,,,
iMatrarephcandraBindu-oriya.wide,iMatrarephcandraBinduO.wide,581,581,,,
jaja-oriya,jajaO,582,582,,,
jajava-oriya,jajavaO,583,583,,,
jajha-oriya,jajhaO,584,584,,,
janya-oriya,janyaO,585,585,,,
jara-oriya,jaraO,586,586,,,
java-oriya,javaO,587,587,,,
jhara-oriya,jharaO,588,588,,,
kaca-oriya,kacaO,589,589,,,
kaka-oriya,kakaO,590,590,,,
kalla-oriya,kallaO,591,591,,,
kara-oriya,karaO,592,592,,,
kasa-oriya,kasaO,593,593,,,
kassa-oriya,kassaO,594,594,,,
kassa-oriya.base,kassaO.base,595,595,,,
kassa-oriya.below,kassaO.below,596,596,,,
kassama-oriya,kassamaO,597,597,,,
kassanna-oriya,kassannaO,598,598,,,
kassara-oriya,kassaraO,599,599,,,
kata-oriya,kataO,600,600,,,
katara-oriya,kataraO,601,601,,,
kataraalt-oriya,kataraaltO,602,602,,,
katta-oriya,kattaO,603,603,,,
kava-oriya,kavaO,604,604,,,
khara-oriya,kharaO,605,605,,,
laga-oriya,lagaO,606,606,,,
laka-oriya,lakaO,607,607,,,
lala-oriya,lalaO,608,608,,,
lalla-oriya,lallaO,609,609,,,
lama-oriya,lamaO,610,610,,,
lapa-oriya,lapaO,611,611,,,
lapha-oriya,laphaO,612,612,,,
lara-oriya,laraO,613,613,,,
llaka-oriya,llakaO,614,614,,,
llalla-oriya,llallaO,615,615,,,
llapa-oriya,llapaO,616,616,,,
llapha-oriya,llaphaO,617,617,,,
llara-oriya,llaraO,618,618,,,
maba-oriya,mabaO,619,619,,,
mabha-oriya,mabhaO,620,620,,,
mabhara-oriya,mabharaO,621,621,,,
mama-oriya,mamaO,622,622,,,
mapa-oriya,mapaO,623,623,,,
mapara-oriya,maparaO,624,624,,,
mapha-oriya,maphaO,625,625,,,
mara-oriya,maraO,626,626,,,
nada-oriya,nadaO,627,627,,,
nadara-oriya,nadaraO,628,628,,,
nadava-oriya,nadavaO,629,629,,,
nadha-oriya,nadhaO,630,630,,,
nadhara-oriya,nadharaO,631,631,,,
nadhava-oriya,nadhavaO,632,632,,,
nana-oriya,nanaO,633,633,,,
nara-oriya,naraO,634,634,,,
nata-oriya,nataO,635,635,,,
natara-oriya,nataraO,636,636,,,
natauMatra-oriya,natauMatraO,637,637,,,
natava-oriya,natavaO,638,638,,,
natha-oriya,nathaO,639,639,,,
ngaga-oriya,ngagaO,640,640,,,
ngagha-oriya,ngaghaO,641,641,,,
ngaka-oriya,ngakaO,642,642,,,
ngakassa-oriya,ngakassaO,643,643,,,
ngakata-oriya,ngakataO,644,644,,,
ngakha-oriya,ngakhaO,645,645,,,
ngara-oriya,ngaraO,646,646,,,
nnadda-oriya,nnaddaO,647,647,,,
nnaddahalant-oriya,nnaddahalantO,648,648,,,
nnaddara-oriya,nnaddaraO,649,649,,,
nnaddha-oriya,nnaddhaO,650,650,,,
nnanna-oriya,nnannaO,651,651,,,
nnara-oriya,nnaraO,652,652,,,
nnatta-oriya,nnattaO,653,653,,,
nnattahalant-oriya,nnattahalantO,654,654,,,
nnattha-oriya,nnatthaO,655,655,,,
nyaca-oriya,nyacaO,656,656,,,
nyacha-oriya,nyachaO,657,657,,,
nyaja-oriya,nyajaO,658,658,,,
nyajha-oriya,nyajhaO,659,659,,,
nyara-oriya,nyaraO,660,660,,,
om-oriya,omO,661,661,,,
paka-oriya,pakaO,662,662,,,
palla-oriya,pallaO,663,663,,,
papa-oriya,papaO,664,664,,,
para-oriya,paraO,665,665,,,
partta-oriya.below,parttaO.below,666,666,,,
pasa-oriya,pasaO,667,667,,,
pata-oriya,pataO,668,668,,,
patta-oriya,pattaO,669,669,,,
phara-oriya,pharaO,670,670,,,
rarVocalicMatra-oriya.below,rarVocalicMatraO.below,671,671,,,
rarrVocalicMatra-oriya.below,rarrVocalicMatraO.below,672,672,,,
rauMatra-oriya.below,rauMatraO.below,673,673,,,
rauuMatra-oriya.below,rauuMatraO.below,674,674,,,
reph-oriya,rephO,675,675,,,
rephaiLength-oriya,rephaiLengthO,676,676,,,
rephaiLength-oriya.stem,rephaiLengthO.stem,677,677,,,
rephaiLength-oriya.umbrella,rephaiLengthO.umbrella,678,678,,,
rephaiLengthcandraBindu-oriya,rephaiLengthcandraBinduO,679,679,,,
rephaiLengthcandraBindu-oriya.stem,rephaiLengthcandraBinduO.stem,680,680,,,
rephaiLengthcandraBindu-oriya.umbrella,rephaiLengthcandraBinduO.umbrel,681,681,,,
rephauLength-oriya,rephauLengthO,682,682,,,
rephauLengthcandraBindu-oriya,rephauLengthcandraBinduO,683,683,,,
rephcandraBindu-oriya,rephcandraBinduO,684,684,,,
rhara-oriya,rharaO,685,685,,,
rrara-oriya,rraraO,686,686,,,
saka-oriya,sakaO,687,687,,,
sakha-oriya,sakhaO,688,688,,,
sama-oriya,samaO,689,689,,,
sana-oriya,sanaO,690,690,,,
sapa-oriya,sapaO,691,691,,,
saparVocalicMatra-oriya,saparVocalicMatraO,692,692,,,
sapha-oriya,saphaO,693,693,,,
sara-oriya,saraO,694,694,,,
sata-oriya,sataO,695,695,,,
satara-oriya,sataraO,696,696,,,
satha-oriya,sathaO,697,697,,,
sava-oriya,savaO,698,698,,,
shaca-oriya,shacaO,699,699,,,
shacha-oriya,shachaO,700,700,,,
shalla-oriya,shallaO,701,701,,,
shara-oriya,sharaO,702,702,,,
shava-oriya,shavaO,703,703,,,
ssaka-oriya,ssakaO,704,704,,,
ssakara-oriya,ssakaraO,705,705,,,
ssanna-oriya,ssannaO,706,706,,,
ssapa-oriya,ssapaO,707,707,,,
ssapha-oriya,ssaphaO,708,708,,,
ssara-oriya,ssaraO,709,709,,,
ssatta-oriya,ssattaO,710,710,,,
ssattahalant-oriya,ssattahalantO,711,711,,,
ssattara-oriya,ssattaraO,712,712,,,
ssattha-oriya,ssatthaO,713,713,,,
taalt-oriya.below,taaltO.below,714,714,,,
taka-oriya,takaO,715,715,,,
takara-oriya,takaraO,716,716,,,
tama-oriya,tamaO,717,717,,,
tana-oriya,tanaO,718,718,,,
tapa-oriya,tapaO,719,719,,,
tapara-oriya,taparaO,720,720,,,
tara-oriya,taraO,721,721,,,
tara-oriya.below,taraO.below,722,722,,,
tarauMatra-oriya,tarauMatraO,723,723,,,
tasa-oriya,tasaO,724,724,,,
tasana-oriya,tasanaO,725,725,,,
tata-oriya,tataO,726,726,,,
tatara-oriya,tataraO,727,727,,,
tatava-oriya,tatavaO,728,728,,,
tatha-oriya,tathaO,729,729,,,
tava-oriya,tavaO,730,730,,,
thara-oriya,tharaO,731,731,,,
ttara-oriya,ttaraO,732,732,,,
ttatta-oriya,ttattaO,733,733,,,
tthara-oriya,ttharaO,734,734,,,
vara-oriya,varaO,735,735,,kui,"cv10=0,1"
vara-oriya.kui,varaO.kui,736,736,,,
wara-oriya,waraO,737,737,,,
yara-oriya,yaraO,738,738,,,
yyara-oriya,yyaraO,739,739,,,
